Id,Title,Caption,Year,MediaType,Uri,MediaSource,Attribution,Order,Collection_Id,Exhibit_Id,Depth
5B5D27BF-0D58-42B4-9A35-3F34ACDA7DB5,Sauropods,"Sauropods were the largest land animals ever to exist. Nothing alive today can even compare to how massive they were. Traditionally, they were viewed as slow lumbering beasts that lived near swamps to support their weight. They were also usually depicted with their necks craning and moving like those of swans. However, recent research shows that they were more capable of carrying their own weight and their necks were actually more stiff than expected. This was because their size forced them to be built like suspension bridges, with their long necks supported by their tails as counterweights.",0.17,Picture,http://czbeta.blob.core.windows.net/images/5b5d27bf-0d58-42b4-9a35-3f34acda7db5_800px-Apatosaurus33.jpg,http://commons.wikimedia.org/wiki/File:Apatosaurus33.jpg,????? ,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,7032542D-E692-466A-B846-2688E55F1269,6
E553A25C-8B04-4356-8931-570DD12106C5,Archeopteryx,"The first birds also evolved during the Jurassic. Archaeopteryx is thought to be the missing link between dinosaurs and modern day birds. The first fossil discovery of archaeopteryx showed clear evidence of feathers and what appeared to be wings. Thought it probably could not fly like modern birds, it probably used it's wings to glide from tree to tree to catch insects and other small prey. ",0.17,Picture,http://czbeta.blob.core.windows.net/images/e553a25c-8b04-4356-8931-570dd12106c5_Archeopteryx_color.jpg,http://commons.wikimedia.org/wiki/File:Archeopteryx_color.jpg,Heinrich Harder,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,7032542D-E692-466A-B846-2688E55F1269,6
623AF67C-AE58-4B9E-BCDA-6D3C5B840D9F,Cryolophosaurus,Cryolophosaurus was one of the first large theropod dinosaurs that preyed on other large dinosaurs. It lived during the Early Jurassic and was discovered in Antarctica. One of it's distinctive features was the head crest that was present on most early theropods.,0.17,Picture,http://czbeta.blob.core.windows.net/images/623af67c-ae58-4b9e-bcda-6d3c5b840d9f_CryolophosaurusDB.jpg,http://upload.wikimedia.org/wikipedia/commons/5/55/CryolophosaurusDB.jpg, ?????,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,7032542D-E692-466A-B846-2688E55F1269,6
737FD611-15DD-4BC6-B4E9-BF2B90FB8754,Size Matters,"The Jurassic period saw dinosaurs creep out from their small beginnings and flourish. The climate was favorable and the continents were breaking apart, creating fertile shallow seas and many miles of coast line which improved rain patterns. These conditions allowed dinosaurs to grow to enormous sizes, as both predator and prey attempted to gain the upper hand on one another. Sauropods were the extreme example, growing to sizes sometimes of over 100 feet in length, they used their size as a deterrent against predators and to control a niche in their environment that no other creature could access. They were eating machines designed to process huge amounts of foliage. And they did so so quickly that they had not time to chew. In fact, they ate small stones so that the plant matter would get ground up within their stomach's. Apatosaurus is probably the most well known of all sauropods, but is likely known by it's older name by many which is Brontosaurus.",0.17,Picture,http://czbeta.blob.core.windows.net/images/737fd611-15dd-4bc6-b4e9-bf2b90fb8754_800px-Jobaria_tiguidensis_steveoc.jpg,http://commons.wikimedia.org/wiki/File:Jobaria_tiguidensis_steveoc.jpg,Steveoc 86,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,7032542D-E692-466A-B846-2688E55F1269,6
26214F2A-C2C7-4F9C-83E7-29FE0587BE9A,Triassic-Jurassic Mass Extinction,"The Triassic-Jurassic Mass extinction in many ways finished what the previous mass extinction started. It coincides with the break up of Pangaea and thus with a period of once again, increased volcanism. The world still hadn’t fully recovered from the previous mass extinction when this one began but it would after this one. The Triassic period marked a time of competition between groups of animals for dominance over the land. There were many groups contending for the position, and among them were the dinosaurs. During this time dinosaurs still hadn’t claimed their rule over the land as the dominant vertebrates, but when this extinction eradicated many other kinds of large reptiles, dinosaurs moved into their niches and were the only type of large terrestrial vertebrate for the next almost 150 million years.",0.2,Picture,http://czbeta.blob.core.windows.net/images/26214f2a-c2c7-4f9c-83e7-29fe0587be9a_Pangea_animation_03.gif,http://commons.wikimedia.org/wiki/File:Pangea_animation_03.gif,NULL,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3522EA1D-700E-4079-AC87-3F6ECC75DA31,6
56C28B76-A671-444E-BB0D-2204114E730D,Pterosaurs,"These flying reptiles can also trace their origins back to the Triassic. Though small at first, they grew to enormous sizes in the Cretaceous. They were the second animal group to achieve true flight, after insects.",0.22,Picture,http://czbeta.blob.core.windows.net/images/56c28b76-a671-444e-bb0d-2204114e730d_Rhamphorhynchus.jpg,http://commons.wikimedia.org/wiki/File:Rhamphorhynchus.jpg,Sturm,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3E1A1F05-DB66-4BD2-9B2C-3774FE7BE6F4,6
24E4C441-E515-420F-BCE3-3DB0B8056B83,Plateosaurus,"One of the first herbivorous dinosaurs, Plateosaurus was a large prosauropod, a group that would later give rise to some of the largest creatures of all time such as apatosaurus and diplodocus.",0.22,Picture,http://czbeta.blob.core.windows.net/images/24e4c441-e515-420f-bce3-3db0b8056b83_800px-Sketch_plateosaurus.jpg,http://commons.wikimedia.org/wiki/File:Sketch_plateosaurus.jpg,Tbc,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3E1A1F05-DB66-4BD2-9B2C-3774FE7BE6F4,6
0216E738-9991-4294-967F-6EC0DFE14D3E,Fossil Evidence,"We know that all the continents were together in one land mass because fossil evidence shows animals and plants of the same species were present across different continents that are now separated by thousands of miles of ocean, but must have then been together geographically.",0.22,Picture,http://czbeta.blob.core.windows.net/images/0216e738-9991-4294-967f-6ec0dfe14d3e_580px-Snider-Pellegrini_Wegener_fossil_map.svg.png,http://commons.wikimedia.org/wiki/File:Snider-Pellegrini_Wegener_fossil_map.svg,Osvaldocangaspadilla,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3E1A1F05-DB66-4BD2-9B2C-3774FE7BE6F4,6
0A2211F4-F6F7-4E20-965A-8256E712EFF6,Sea Life,"During the Triassic the first marine reptiles began to emerge. The first to truly adapt to a marine lifestyle were the ichthyosaurs. They actually attained a fish-like appearance and were similar to today's dolphin's or shark's. They even developed a way to not have to leave the ocean to give birth, unlike other marine reptiles such as turtles and plesiosaurs.",0.22,Picture,http://czbeta.blob.core.windows.net/images/0a2211f4-f6f7-4e20-965a-8256e712eff6_Ichthyosaur_hharder.png,http://commons.wikimedia.org/wiki/File:Ichthyosaur_hharder.png,Heinrich Harder,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3E1A1F05-DB66-4BD2-9B2C-3774FE7BE6F4,6
CEC82440-6B35-4A7E-B5AA-BC27F37AAC55,Hostile World,"The triassic world was not very pleasant. The continents were all joined together in one giant landmass call Pangaea. This reduced coastlines and created a large inland are that would heat up and not have the same tempering from the sea as coastal areas. As a result, large deserts formed and they stretched from pole to pole. It was only in the polar regions that there were monsoons that allowed more plant growth. And it wasn't until the continents started to break apart that dinosaurs truly began to flourish.",0.22,Picture,http://czbeta.blob.core.windows.net/images/cec82440-6b35-4a7e-b5aa-bc27f37aac55_800px-Ramon2004b.jpg,http://en.wikipedia.org/wiki/File:Ramon2004b.jpg,Wilson44691,NULL,2B6CD8E0-5833-CEAF-117E-CF74DB7FED1F,3E1A1F05-DB66-4BD2-9B2C-3774FE7BE6F4,6
